Space cost (bytes),# TPG edges,# Upper-bound edges,# TSPG edges
1.35932e+06,148,107,107
1.34158e+06,1,1,1
1.3439e+06,19,16,16
1.34206e+06,4,4,4
1.34492e+06,29,25,25
1.34278e+06,9,9,9
1.35793e+06,132,126,126
1.35198e+06,92,71,71
1.3456e+06,34,34,34
1.34945e+06,59,58,58
1.39948e+06,558,382,380
1.34219e+06,6,6,6
1.34847e+06,51,51,51
1.34855e+06,48,46,46
1.35595e+06,122,58,58
1.4009e+06,469,431,431
1.34158e+06,1,1,1
1.34258e+06,7,7,7
1.34168e+06,2,2,2
1.34179e+06,3,3,3
1.34765e+06,45,43,43
1.34457e+06,22,21,21
1.34252e+06,7,7,7
1.34249e+06,7,7,7
1.34433e+06,20,20,20
1.34995e+06,59,59,59
1.34258e+06,8,7,7
1.34189e+06,3,3,3
1.3853e+06,343,279,279
1.34271e+06,9,9,9
1.34375e+06,19,19,19
1.34233e+06,7,7,7
1.34373e+06,23,9,9
1.3428e+06,9,9,9
1.3442e+06,17,17,17
1.36306e+06,154,129,129
1.34159e+06,1,1,1
1.34221e+06,5,5,5
1.36407e+06,183,126,126
1.35572e+06,113,95,95
1.35353e+06,93,77,77
1.38677e+06,369,323,319
1.43886e+06,829,718,715
1.34173e+06,2,2,2
1.34392e+06,18,18,18
1.34189e+06,3,3,3
1.34296e+06,12,10,10
1.34713e+06,43,43,43
1.34346e+06,17,17,17
1.37166e+06,234,209,209
1.343e+06,10,10,10
1.34391e+06,28,6,6
1.34158e+06,1,1,1
1.34207e+06,5,3,3
1.34158e+06,1,1,1
1.34207e+06,4,4,4
1.36619e+06,199,156,156
1.34294e+06,9,9,9
1.34207e+06,4,4,4
1.34344e+06,17,14,14
1.34286e+06,8,8,8
1.34236e+06,7,7,7
1.34499e+06,27,26,26
1.34498e+06,25,25,25
1.38916e+06,373,268,266
1.34246e+06,7,7,7
1.342e+06,5,5,5
1.34385e+06,22,12,12
1.35637e+06,121,91,91
1.34158e+06,1,1,1
1.34173e+06,2,2,2
1.34255e+06,7,7,7
1.34422e+06,19,19,19
1.3421e+06,5,5,5
1.34444e+06,20,20,20
1.34308e+06,10,10,10
1.34255e+06,7,7,7
1.3419e+06,3,3,3
1.37535e+06,281,212,212
1.36006e+06,186,127,127
1.34285e+06,9,9,9
1.34236e+06,7,5,5
1.353e+06,81,79,79
1.34412e+06,18,18,18
1.34157e+06,1,1,1
1.34297e+06,10,10,10
1.34562e+06,30,30,30
1.34379e+06,14,14,14
1.36161e+06,179,114,114
1.37376e+06,271,202,201
1.34182e+06,3,3,3
1.3515e+06,74,63,63
1.3427e+06,9,9,9
1.37002e+06,224,214,214
1.34284e+06,9,9,9
1.34254e+06,12,3,3
1.34202e+06,4,4,4
1.34224e+06,5,5,5
1.34266e+06,8,8,8
1.36882e+06,208,174,174
1.34237e+06,6,6,6
1.342e+06,5,5,5
1.34854e+06,74,38,38
1.37902e+06,280,244,244
1.34204e+06,4,4,4
1.34214e+06,6,6,6
1.41134e+06,618,486,485
1.34926e+06,53,53,53
1.34174e+06,2,2,2
1.38744e+06,405,316,314
1.34713e+06,40,40,40
1.36744e+06,200,162,162
1.34426e+06,20,17,17
1.34312e+06,10,10,10
1.34253e+06,8,6,6
1.34216e+06,5,5,5
